# Highest 10000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
0.622368,5.366887,1340.000000,1.29949806e+03
0.411138,0.589049,1360.000000,1.29871747e+03
2.411019,2.804993,1380.000000,1.29777286e+03
0.204480,1.178097,1370.000000,1.29592841e+03
0.204480,1.178097,1370.000000,1.29592841e+03
2.300524,5.792311,1360.000000,1.29543589e+03
2.411019,2.356194,1350.000000,1.29464251e+03
2.411019,0.785398,1400.000000,1.29436564e+03
0.730574,3.926991,1350.000000,1.29287360e+03
2.193623,4.319690,1300.000000,1.29265170e+03
2.300524,4.221515,1280.000000,1.29261089e+03
2.411019,5.497787,1280.000000,1.29050292e+03
0.730574,1.009798,1330.000000,1.28856320e+03
0.730574,2.356194,1340.000000,1.28844157e+03
0.622368,3.010693,1370.000000,1.28798328e+03
0.622368,5.366887,1330.000000,1.28693149e+03
0.622368,5.890486,1280.000000,1.28668150e+03
2.730455,2.552544,1370.000000,1.28664145e+03
0.841069,0.098175,1380.000000,1.28459869e+03
2.411019,3.478192,1280.000000,1.28442836e+03
0.841069,5.792311,1400.000000,1.28240554e+03
0.516016,1.099557,1370.000000,1.28236170e+03
0.516016,1.099557,1370.000000,1.28236170e+03
0.411138,0.196350,1260.000000,1.28200935e+03
2.519224,6.152286,1390.000000,1.28133619e+03
2.300524,2.650719,1360.000000,1.28041061e+03
2.300524,2.650719,1360.000000,1.28041061e+03
2.834198,3.403392,1360.000000,1.27973305e+03
2.411019,5.497787,1270.000000,1.27897098e+03
0.841069,1.276272,1300.000000,1.27730246e+03
0.730574,1.009798,1320.000000,1.27653609e+03
0.307395,0.261799,1290.000000,1.27602126e+03
0.841069,2.258020,1400.000000,1.27601702e+03
0.947970,5.694137,1330.000000,1.27577705e+03
2.730455,2.552544,1360.000000,1.27488544e+03
2.411019,4.151390,1400.000000,1.27361648e+03
0.622368,2.225295,1340.000000,1.27175710e+03
0.516016,5.811946,1320.000000,1.27174765e+03
2.730455,2.159845,1310.000000,1.27113791e+03
2.411019,3.029393,1400.000000,1.27113666e+03
2.519224,2.748894,1320.000000,1.27098423e+03
0.841069,0.687223,1380.000000,1.27079131e+03
0.730574,0.112200,1390.000000,1.26986125e+03
2.193623,4.319690,1280.000000,1.26922165e+03
