# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
2.411019,4.151390,1350.000000,1.21549463e+03
2.937112,2.748894,1350.000000,1.21506629e+03
0.516016,5.183628,1300.000000,1.21458258e+03
0.102106,2.356194,1360.000000,1.21396336e+03
2.519224,3.010693,1300.000000,1.21372205e+03
0.730574,4.600189,1400.000000,1.21273044e+03
2.411019,5.722187,1240.000000,1.21221861e+03
2.834198,2.879793,1380.000000,1.21183006e+03
2.519224,4.581489,1330.000000,1.21154643e+03
2.834198,2.356194,1350.000000,1.21152487e+03
1.141021,4.712389,1330.000000,1.21084230e+03
2.411019,3.029393,1340.000000,1.21024597e+03
2.834198,3.926991,1340.000000,1.20999574e+03
2.730455,3.337942,1300.000000,1.20997042e+03
0.730574,5.722187,1320.000000,1.20940737e+03
0.516016,5.497787,1390.000000,1.20918772e+03
2.411019,5.497787,1210.000000,1.20868655e+03
0.102106,3.926991,1330.000000,1.20820697e+03
0.730574,2.580594,1360.000000,1.20775318e+03
0.516016,2.670354,1400.000000,1.20721812e+03
0.516016,1.727876,1400.000000,1.20657061e+03
0.411138,5.694137,1350.000000,1.20547537e+03
0.411138,5.694137,1350.000000,1.20547537e+03
0.841069,1.079922,1320.000000,1.20398186e+03
0.307395,3.403392,1190.000000,1.20356609e+03
2.519224,1.701696,1360.000000,1.20298064e+03
2.519224,3.272492,1390.000000,1.20279166e+03
2.834198,2.879793,1370.000000,1.20171682e+03
2.411019,0.112200,1380.000000,1.20113417e+03
2.519224,3.010693,1290.000000,1.20100213e+03
2.411019,4.600189,1390.000000,1.20064264e+03
0.730574,2.804993,1400.000000,1.19975669e+03
0.730574,2.356194,1270.000000,1.19783527e+03
2.193623,5.301438,1380.000000,1.19757759e+03
0.516016,1.413717,1310.000000,1.19663692e+03
0.947970,0.196350,1260.000000,1.19596329e+03
2.625576,1.727876,1370.000000,1.19538432e+03
2.411019,4.375790,1230.000000,1.19432168e+03
0.622368,4.057891,1380.000000,1.19168048e+03
0.622368,2.225295,1270.000000,1.19038043e+03
2.411019,4.600189,1380.000000,1.18958114e+03
2.625576,2.670354,1200.000000,1.18804955e+03
2.519224,0.654498,1350.000000,1.18668057e+03
2.300524,0.687223,1360.000000,1.18624137e+03
2.937112,4.319690,1400.000000,1.18604574e+03
2.300524,6.185011,1370.000000,1.18588837e+03
2.730455,3.337942,1280.000000,1.18535253e+03
0.622368,0.130900,1340.000000,1.18532552e+03
2.625576,2.042035,1240.000000,1.18513287e+03
2.411019,5.497787,1190.000000,1.18486058e+03
0.516016,3.298672,1340.000000,1.18428191e+03
2.193623,5.890486,1390.000000,1.18414258e+03
0.841069,2.454369,1340.000000,1.18408938e+03
0.622368,1.178097,1400.000000,1.18388142e+03
0.622368,4.581489,1350.000000,1.18334120e+03
2.730455,4.908739,1390.000000,1.18296703e+03
0.516016,5.183628,1270.000000,1.18150534e+03
0.622368,4.057891,1370.000000,1.18141504e+03
0.516016,0.471239,1400.000000,1.18092762e+03
2.411019,4.375790,1220.000000,1.18062615e+03
0.730574,1.009798,1240.000000,1.17899230e+03
